file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_002852_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002852_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.9999964,0.0
2007_002953_SimBA-DCT_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA-DCT_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002953_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_003118_SimBA-DCT_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA-DCT_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_003118_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
